CVE ID,CWE ID,Success,Query ID,vuln_num_paths,vuln_num_results,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,Precision,FDR,Recall,F1
CVE-2014-3656,CWE-079,FALSE,CWE-79,1,1,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2016-10006,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2016-5394,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2016-6812,CWE-079,FALSE,CWE-79,127,73,TRUE,TRUE,30,8,30,8,0.1095890411,0.8904109589,1,0.1975308642
CVE-2017-14735,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2018-1000129,CWE-079,FALSE,CWE-79,1,1,TRUE,TRUE,1,1,1,1,1,0,1,1
CVE-2019-10076,CWE-079,FALSE,CWE-79,68,21,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-10077,CWE-079,FALSE,CWE-79,68,21,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-10078,CWE-079,FALSE,CWE-79,68,21,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-10089,CWE-079,FALSE,CWE-79,68,21,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-10219,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-17573,CWE-079,FALSE,CWE-79,171,85,TRUE,FALSE,2,1,0,0,0,1,0,0
CVE-2020-13973,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-27219,CWE-079,FALSE,CWE-79,7,3,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-29204,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2021-44667,CWE-079,FALSE,CWE-79,20,7,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-1274,CWE-079,FALSE,CWE-79,43,24,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-24891,CWE-079,FALSE,CWE-79,5,2,TRUE,TRUE,2,1,2,1,0.5,0.5,1,0.6666666667
CVE-2022-28367,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-29577,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-31192,CWE-079,FALSE,CWE-79,110,39,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-4361,CWE-079,FALSE,CWE-79,43,22,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-46907,CWE-079,FALSE,CWE-79,66,20,TRUE,TRUE,7,4,7,4,0.2,0.8,1,0.3333333333
CVE-2023-29201,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-29528,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-31126,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-33962,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-36471,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-37908,CWE-079,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-23026,CWE-079,FALSE,AndroidWebViewSettingsEnabledJavaScript,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-2901,CWE-079,FALSE,AndroidWebViewSettingsEnabledJavaScript,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-32960,CWE-079,FALSE,AndroidWebViewSettingsEnabledJavaScript,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-32961,CWE-079,FALSE,AndroidWebViewSettingsEnabledJavaScript,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-46558,CWE-079,FALSE,AndroidWebViewSettingsEnabledJavaScript,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-47885,CWE-079,FALSE,AndroidWebViewSettingsEnabledJavaScript,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-32070,CWE-083,FALSE,CWE-79,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2018-1260,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2019-0222,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-11998,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2020-17530,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2021-30180,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2021-30181,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2021-41269,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2021-4178,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-22947,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-22965,CWE-094,FALSE,CWE-94,24,6,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-42889,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-44262,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-46166,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-32697,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-33246,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-34468,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-37582,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-49109,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2023-51770,CWE-094,FALSE,CWE-94,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-30067,CWE-094,FALSE,InsecureDexLoading,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2022-4137,CWE-116,FALSE,CWE-79,43,24,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2014-3576,CWE-264,FALSE,CWE-78,0,1,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-31723,CWE-352,FALSE,JsonpInjection,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27522,CWE-502,FALSE,UnsafeDeserializationRmi,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27526,CWE-502,FALSE,UnsafeDeserializationRmi,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27528,CWE-502,FALSE,UnsafeDeserializationRmi,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27531,CWE-502,FALSE,UnsafeDeserializationRmi,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27818,CWE-502,FALSE,UnsafeDeserializationRmi,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-47771,CWE-502,FALSE,UnsafeDeserializationRmi,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27136,CWE-611,FALSE,XXE,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-4641,CWE-611,FALSE,XXE,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-47293,CWE-611,FALSE,XXE,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-52888,CWE-611,FALSE,XXE,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53621,CWE-611,TRUE,XXE,13,6,TRUE,TRUE,9,4,4,1,0.1666666667,0.8333333333,1,0.2857142857
