CVE ID,CWE ID,Success,Compilation Success,Iteration Count,vuln_num_results,vuln_num_paths,vuln_recall_file,vuln_recall_method,vuln_tp_paths_file,vuln_tp_results_file,vuln_tp_paths_method,vuln_tp_results_method,fixed_num_paths,fixed_num_results,fixed_recall_file,fixed_recall_method,fixed_tp_paths_file,fixed_tp_results_file,fixed_tp_paths_method,fixed_tp_results_method,Precision,FDR,Recall,F1
CVE-2025-49125,CWE-288,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-22223,CWE-290,TRUE,TRUE,3,5,20,TRUE,TRUE,20,5,20,5,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-3501,CWE-297,TRUE,TRUE,7,2,3,TRUE,TRUE,3,2,3,2,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-53103,CWE-312,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,8,8,TRUE,TRUE,4,4,4,4,0,1,0,0
CVE-2025-27508,CWE-327,FALSE,TRUE,3,31,31,TRUE,FALSE,0,1,0,0,30,30,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-7365,CWE-346,FALSE,TRUE,7,10,13,TRUE,TRUE,5,4,3,2,13,10,TRUE,TRUE,5,4,3,2,0.2,0.8,1,0.3333333333
CVE-2025-31723,CWE-352,TRUE,TRUE,1,17,66,TRUE,TRUE,62,16,62,16,0,0,FALSE,FALSE,0,0,0,0,0.9411764706,0.05882352941,1,0.9696969697
CVE-2025-25193,CWE-400,TRUE,TRUE,1,3,3,TRUE,TRUE,2,2,2,2,1,1,FALSE,FALSE,0,0,0,0,0.6666666667,0.3333333333,1,0.8
CVE-2025-48795,CWE-400,FALSE,TRUE,9,9,33,TRUE,FALSE,33,9,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-53506,CWE-400,FALSE,TRUE,2,1,4,TRUE,TRUE,4,1,4,1,4,1,TRUE,TRUE,4,1,4,1,1,0,1,1
CVE-2025-24789,CWE-426,FALSE,TRUE,9,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27522,CWE-502,FALSE,TRUE,3,5,20,TRUE,TRUE,20,5,20,5,12,3,TRUE,TRUE,12,3,12,3,1,0,1,1
CVE-2025-27526,CWE-502,TRUE,TRUE,8,3,12,TRUE,TRUE,12,3,12,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-27528,CWE-502,TRUE,TRUE,8,3,9,TRUE,TRUE,9,3,9,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-27531,CWE-502,TRUE,TRUE,9,17,49,TRUE,TRUE,11,3,8,2,41,15,TRUE,FALSE,3,1,0,0,0.1176470588,0.8823529412,1,0.2105263158
CVE-2025-27818,CWE-502,FALSE,TRUE,7,5,7,TRUE,TRUE,7,5,7,5,7,5,TRUE,TRUE,7,5,7,5,1,0,1,1
CVE-2025-47771,CWE-502,TRUE,TRUE,1,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-27496,CWE-532,TRUE,TRUE,5,1,1,TRUE,TRUE,0,1,0,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-48955,CWE-532,TRUE,TRUE,3,2,4,TRUE,TRUE,4,2,4,2,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-49009,CWE-532,TRUE,TRUE,1,17,64,TRUE,TRUE,4,1,4,1,60,16,FALSE,FALSE,0,0,0,0,0.05882352941,0.9411764706,1,0.1111111111
CVE-2025-27136,CWE-611,TRUE,TRUE,5,2,2,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,0.5,0.5,1,0.6666666667
CVE-2025-4641,CWE-611,TRUE,TRUE,3,1,2,TRUE,TRUE,2,1,2,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-47293,CWE-611,FALSE,TRUE,9,4,3,TRUE,FALSE,2,2,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-52888,CWE-611,TRUE,TRUE,1,3,3,TRUE,TRUE,0,3,0,3,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-53621,CWE-611,FALSE,TRUE,6,14,46,TRUE,TRUE,40,11,40,11,16,4,TRUE,TRUE,16,4,16,4,0.7857142857,0.2142857143,1,0.88
CVE-2025-32959,CWE-770,TRUE,TRUE,6,1,1,TRUE,TRUE,1,1,1,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2025-48976,CWE-770,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-48988,CWE-770,FALSE,TRUE,7,3,3,TRUE,TRUE,0,3,0,1,3,3,TRUE,TRUE,0,3,0,1,0.3333333333,0.6666666667,1,0.5
CVE-2025-27497,CWE-835,FALSE,TRUE,8,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-31720,CWE-862,FALSE,TRUE,9,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-31721,CWE-862,FALSE,TRUE,10,0,0,FALSE,FALSE,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,0,0
CVE-2025-27427,CWE-863,TRUE,TRUE,2,1,3,TRUE,TRUE,3,1,3,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
CVE-2023-51441,CWE-918,FALSE,TRUE,8,9,13,TRUE,FALSE,2,1,0,0,13,9,TRUE,FALSE,2,1,0,0,0,1,0,0
CVE-2024-48944,CWE-918,TRUE,TRUE,1,1,2,TRUE,TRUE,2,1,2,1,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1
